"name","sys_class_name","category","version","operational_status"
"2bdimprod-pro","Applicazioni bilanciamento del carico","","","Operational"
"5ppapretes-qua","Applicazioni bilanciamento del carico","ELB","","Operational"
"5ppaprotes-pro","Applicazioni bilanciamento del carico","ELB","","Operational"
"5ropretest-qua","Applicazioni bilanciamento del carico","ELB","","Operational"
"5roprotest-pro","Applicazioni bilanciamento del carico","ELB","","Operational"
"5rosaprote-pro","Applicazioni bilanciamento del carico","ELB","","Operational"
"5rosatest-qua","Applicazioni bilanciamento del carico","ELB","","Operational"
"A.I. - SNow Sol. x automatic Sod Rel.","Servizio infrastrutturale","General","","Operational"
"aconsu-pro","Applicazioni bilanciamento del carico","ALB","","Operational"
"aconsu-qua","Applicazioni bilanciamento del carico","ALB","","Operational"
"aconsu01-pro","Applicazioni bilanciamento del carico","ALB","","Operational"
"aconsuqua-qua","Applicazioni bilanciamento del carico","ELB","","Operational"
"admprimion-pro","Applicazioni bilanciamento del carico","","","Non-Operational"
"Adobe CQ 6.3 on elaaweenxa00","Applicazione","Resource","6.3","Operational"
"Adobe CQ 6.3 on elaaweenxa02","Applicazione","Resource","6.3","Operational"
"Adobe CQ 6.3 on elaaweenxa03","Applicazione","Resource","6.3","Operational"
"Adobe CQ 6.3 on elaaweenxa04","Applicazione","Resource","6.3","Operational"
"Adobe CQ 6.3 on slaaweenxa00","Applicazione","Resource","6.3","Operational"
"Adobe CQ 6.3 on slaaweenxa01","Applicazione","Resource","6.3","Operational"
"Adobe CQ 6.5 on claawmpola00","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola03","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola04","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola05","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola06","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola07","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola08","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola10","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola11","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmnuoa02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmnuoa03","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmnuoa04","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmpola00","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmpola01","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmpola02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaawmpola03","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on slaaemweea02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on slaaemweea04","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on slaawmpola00","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on slaawmpola01","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on tlaaemweea02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on tlaaemweea03","Applicazione","Resource","6.5","Operational"
"Adobe LiveCycle on slaawid4ow00","Applicazione","Resource","","Operational"
"adosolrex-pro-PublicELB","Applicazioni bilanciamento del carico","ELB","","Operational"
"agorades2-dev","Applicazioni bilanciamento del carico","ELB","","Operational"
"airexxi01-pro","Applicazioni bilanciamento del carico","","","Operational"
"airexxiee-pro","Applicazioni bilanciamento del carico","ALB","","Operational"
"albdqa-qua","Applicazioni bilanciamento del carico","ALB","","Operational"
"albintcoce-dev","Applicazioni bilanciamento del carico","ALB","","Operational"
